Site,Num,obsRunRatio,hydRunRatio
MAT,10,0.0647411958637094,0.03144
MAT,12,0.151884469507095,6.88287356321839e-07
MAT,13,0.0593398945711573,4.09931506849315e-07
MAT,17,0.12568103985289,3.52985765124555e-07
MAT,25,0.0694060283091431,1.34506944444445e-06
MAT,28,0.0911538568315603,7.95342465753425e-07
MAT,30,0.0640238478234046,4.10028571428571e-07
MAT,31,0.171423963934061,1.01188e-06
MAT,40,0.38095880474409,2.198e-07
MAT,41,0.0886996701377476,1.8931282051282e-06
MAT,42,0.111248906763738,1.78266037735849e-06
MAT,5,0.0388217745454905,4.4853813559322e-07
MAT,51,0.178094563841615,0.0316635514018692
MAT,54,0.199330190621,1.47239534883721e-06
MAT,60,0.112806083241309,1.07918367346939e-06
MAT,66,0.178200432168699,1.24646875e-06
PAS,11,0.0873840674742311,0.0874919354838709
PAS,15,0.10493367357509,0.074806275579809
PAS,19,0.0530195492917925,6.92676470588235e-07
PAS,20,0.0847091052067135,4.64886486486486e-07
PAS,25,0.146100516443557,0.167630094043887
PAS,34,0.468910124521005,0.124045871559633
PAS,37,0.124943401666678,0.029815625
PAS,40,0.221995872967502,0.206044534412955
PAS,43,0.150467961306847,1.23764615384615e-06
PAS,56,0.419820661223572,0.0213396226415094
PAS,57,0.124289681575054,2.77635135135135e-06
PAS,58,0.22268308215564,2.4858064516129e-06
PAS,72,0.188088817694137,0.420917874396135
PAS,80,0.300513481202962,0.0310771241830065
PAS,89,0.147155640717307,0.0732149122807017
PAS,98,0.291692119470644,0.0019829
